RD Congo, Forêt équatoriale, Fufu, n, Chaud
France, Montagnes, Côtes, Campagne, Croissant, y, Tempéré
Canada, Montagnes, Plaines, Toundra, Forêts, Poutine, y, Changeant
Madagascar, Forêt équatoriale/Prés, Romazava, y, Chaud
Côte d'Ivoire, Plaines côtières/Forêt équatoriale, Attiéké, y, Chaud
Cameroun, Forêt équatoriale/Savane, Ndolé, y, Chaud
Niger, Désert/Savane, Jollof Rice, n, Chaud
Mali, Désert/Savane, Tieboudienne, n, Chaud
Burkina Faso, Savane/Plateaux, Riz gras, n, Chaud
Tchad, Désert/Savane, Boule, n, Chaud
Sénégal, Sahel/Savane, Thieboudienne, y, Chaud
Guinée, Forêt équatoriale/Savane, Maafe, y, Chaud
Rwanda, Montagnes/Plateaux, Ugali, n, Chaud
Bénin, Plaines côtières/Savane, Fufu, y, Chaud
Burundi, Plateaux/Hautes terres, Haricots et riz, n, Chaud
Haïti, Montagnes/Côtes, Griot, y, Chaud
Belgique, Plaines/Collines, Gaufres belges, y, Tempéré
Togo, Plaines côtières/Plateaux, Fufu, y, Chaud
Suisse, Montagnes/Plateaux, Fondue, n, Tempéré
République du Congo, Forêt équatoriale/Savane, Moambe, y, Chaud
République centrafricaine, Forêt équatoriale/Savane, Cassava, n, Chaud
Gabon, Forêt équatoriale/Plaines côtières, Nyembwe, y, Chaud
Guinée équatoriale, Forêt équatoriale/Plaines côtières, Pain de manioc, y, Chaud
Djibouti, Désert/Littoral, Skoudehkaris, y, Chaud
Réunion, Île volcanique, Rougail, y, Tempéré
Comores, Îles volcaniques, Langouste à la vanille, y, Chaud
Luxembourg, Collines boisées/Plateaux, Judd mat Gaardebounen, n, Tempéré
Guadeloupe, Forêt équatoriale/Côtes, Accras, y, Chaud
Martinique, Montagnes/Côtes, Colombo, y, Chaud
Mayotte, Île volcanique, Pilao, y, Chaud
Vanuatu, Îles volcaniques, Lap Lap, y, Tempéré
Guyane française, Forêt équatoriale/Littoral, Bouillon d'Aoura, y, Chaud
Polynésie française, Îles volcaniques/Atolls, Poisson Cru, y, Chaud
Nouvelle-Calédonie, Récifs coralliens/Montagnes, Bougna, y, Tempéré
Jersey, Plaines côtières/Collines, Pommes de terre Jersey Royal, y, Tempéré
Seychelles, Îles coralliennes, Curry de poulpe, y, Chaud
Monaco, Urbain/Littoral, Barbagiuan, y, Chaud
Saint-Martin, Plaines côtières/Collines, Conque, y, Chaud
Wallis et Futuna, Îles volcaniques, Ufi, y, Tempéré
Saint-Barthélemy, Plaines côtières/Collines, Accras, y, Chaud
Saint-Pierre-et-Miquelon, Plaines côtières/Îles, Gravlax, y, Tempéré
